Serial Number,Family,Model,Process,Start Time,Console #,Elapsed Time,End Time,Start Time,Error Message,Error Code,Test Result
515308075004,PX,2000HN48-IA-HW,FVT,12/02/16 11:41:14,2,00:53:47,12/02/16 12:35:01,12/02/16 11:41:14,NONE,0,PASSED
515308075004,PX,2000HN48-IA-HW,FVT,12/02/16 11:41:14,2,00:53:47,12/02/16 12:35:01,12/02/16 11:41:14,NONE,0,PASSED
515308075004,PX,2000HN48-IA-HW,FVT,12/02/16 11:41:14,2,00:53:47,12/02/16 12:35:01,12/02/16 11:41:14,NONE,0,PASSED
